instrument_name,quantity
BTC-14AUG26-65000-C,2.5
BTC-14AUG26-65000-P,-2.0
BTC-25SEP26-58000-C,-1.5
BTC-25SEP26-58000-P,1.25
BTC-25SEP26-72000-C,2.0
BTC-25SEP26-72000-P,-1.75
BTC-30OCT26-52000-C,-1.0
BTC-30OCT26-52000-P,1.5
BTC-30OCT26-78000-C,1.25
BTC-30OCT26-78000-P,-1.0
ETH-14AUG26-1920-C,-48.0
ETH-14AUG26-1920-P,40.0
ETH-25SEP26-1700-C,32.0
ETH-25SEP26-1700-P,-36.0
ETH-25SEP26-2100-C,-44.0
ETH-25SEP26-2100-P,28.0
ETH-30OCT26-1500-C,24.0
ETH-30OCT26-1500-P,-30.0
ETH-30OCT26-2300-C,0.0
ETH-30OCT26-2300-P,36.0
