instrument_name,underlying,option_type,strike_usd,expiration_timestamp,contract_multiplier,price_index,maturity_bucket
BTC-14AUG26-65000-C,BTC,call,65000.0,2026-08-14T08:00:00.000000Z,1.0,btc_usd,near
BTC-14AUG26-65000-P,BTC,put,65000.0,2026-08-14T08:00:00.000000Z,1.0,btc_usd,near
BTC-25SEP26-58000-C,BTC,call,58000.0,2026-09-25T08:00:00.000000Z,1.0,btc_usd,medium
BTC-25SEP26-58000-P,BTC,put,58000.0,2026-09-25T08:00:00.000000Z,1.0,btc_usd,medium
BTC-25SEP26-72000-C,BTC,call,72000.0,2026-09-25T08:00:00.000000Z,1.0,btc_usd,medium
BTC-25SEP26-72000-P,BTC,put,72000.0,2026-09-25T08:00:00.000000Z,1.0,btc_usd,medium
BTC-30OCT26-52000-C,BTC,call,52000.0,2026-10-30T08:00:00.000000Z,1.0,btc_usd,far
BTC-30OCT26-52000-P,BTC,put,52000.0,2026-10-30T08:00:00.000000Z,1.0,btc_usd,far
BTC-30OCT26-78000-C,BTC,call,78000.0,2026-10-30T08:00:00.000000Z,1.0,btc_usd,far
BTC-30OCT26-78000-P,BTC,put,78000.0,2026-10-30T08:00:00.000000Z,1.0,btc_usd,far
ETH-14AUG26-1920-C,ETH,call,1920.0,2026-08-14T08:00:00.000000Z,1.0,eth_usd,near
ETH-14AUG26-1920-P,ETH,put,1920.0,2026-08-14T08:00:00.000000Z,1.0,eth_usd,near
ETH-25SEP26-1700-C,ETH,call,1700.0,2026-09-25T08:00:00.000000Z,1.0,eth_usd,medium
ETH-25SEP26-1700-P,ETH,put,1700.0,2026-09-25T08:00:00.000000Z,1.0,eth_usd,medium
ETH-25SEP26-2100-C,ETH,call,2100.0,2026-09-25T08:00:00.000000Z,1.0,eth_usd,medium
ETH-25SEP26-2100-P,ETH,put,2100.0,2026-09-25T08:00:00.000000Z,1.0,eth_usd,medium
ETH-30OCT26-1500-C,ETH,call,1500.0,2026-10-30T08:00:00.000000Z,1.0,eth_usd,far
ETH-30OCT26-1500-P,ETH,put,1500.0,2026-10-30T08:00:00.000000Z,1.0,eth_usd,far
ETH-30OCT26-2300-C,ETH,call,2300.0,2026-10-30T08:00:00.000000Z,1.0,eth_usd,far
ETH-30OCT26-2300-P,ETH,put,2300.0,2026-10-30T08:00:00.000000Z,1.0,eth_usd,far
