instrument_name,rate_decimal,benchmark_t0_utc,benchmark_t1_utc
BTC-14AUG26-65000-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
BTC-14AUG26-65000-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
BTC-25SEP26-58000-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
BTC-25SEP26-58000-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
BTC-25SEP26-72000-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
BTC-25SEP26-72000-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
BTC-30OCT26-52000-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
BTC-30OCT26-52000-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
BTC-30OCT26-78000-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
BTC-30OCT26-78000-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-14AUG26-1920-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-14AUG26-1920-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-25SEP26-1700-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-25SEP26-1700-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-25SEP26-2100-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-25SEP26-2100-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-30OCT26-1500-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-30OCT26-1500-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-30OCT26-2300-C,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
ETH-30OCT26-2300-P,0.04,2026-08-08T17:23:35.969048Z,2026-08-09T17:23:35.969048Z
