instrument_name,quantity_t0,quantity_t1,contract_multiplier,unit_value_t0_usd,unit_value_t1_usd,market_value_t0_usd,market_value_t1_usd
BTC-14AUG26-65000-C,2.5,1.9,1.0,906.9125111587928,4979.998489031132,2267.281277896982,9461.99712915915
BTC-14AUG26-65000-P,-2.0,-3.5,1.0,802.2430337309852,2.5935624370832784,-1604.4860674619704,-9.077468529791474
BTC-25SEP26-58000-C,-1.5,0.5,1.0,8286.402738489305,12488.20612333167,-12429.604107733958,6244.103061665835
BTC-25SEP26-58000-P,1.25,1.25,1.0,919.8526180161662,248.12468754776,1149.8157725202077,310.1558594347
BTC-25SEP26-72000-C,2.0,1.25,1.0,945.4017069129859,2073.1482678227694,1890.8034138259718,2591.4353347784618
BTC-25SEP26-72000-P,-1.75,0.5,1.0,7505.998453911852,3761.740045815146,-13135.497294345741,1880.870022907573
BTC-30OCT26-52000-C,-1.0,-1.0,1.0,14383.298582634714,18735.453106490786,-14383.298582634714,-18735.453106490786
BTC-30OCT26-52000-P,1.5,1.5,1.0,849.9371203304036,327.88447690180965,1274.9056804956053,491.8267153527145
BTC-30OCT26-78000-C,1.25,1.25,1.0,973.3458990637937,1389.1974888780678,1216.6823738297421,1736.4968610975848
BTC-30OCT26-78000-P,-1.0,0.0,1.0,13205.668705607299,8750.136919494595,-13205.668705607299,0.0
ETH-14AUG26-1920-C,-48.0,-40.0,1.0,35.97914108611997,3.5289220758647275,-1726.9987721337584,-141.1568830345891
ETH-14AUG26-1920-P,40.0,24.0,1.0,33.10939036825266,125.7793145518558,1324.3756147301065,3018.7035492445393
ETH-25SEP26-1700-C,32.0,42.0,1.0,276.9046218352896,197.8423788039836,8860.947898729268,8309.37990976731
ETH-25SEP26-1700-P,-36.0,-36.0,1.0,46.36817002831816,92.401119048248,-1669.2541210194538,-3326.440285736928
ETH-25SEP26-2100-C,-44.0,12.0,1.0,68.78052855470776,40.08712940091368,-3026.3432564071413,481.0455528109642
ETH-25SEP26-2100-P,28.0,28.0,1.0,236.16255867550808,332.6079614673579,6612.551642914226,9313.02292108602
ETH-30OCT26-1500-C,24.0,24.0,1.0,475.77237467520945,384.6073822589983,11418.536992205027,9230.57717421596
ETH-30OCT26-1500-P,-30.0,-16.0,1.0,40.564159416431096,74.47192804008557,-1216.924782492933,-1191.5508486413692
ETH-30OCT26-2300-C,0.0,28.0,1.0,69.84562056686224,43.572744396777125,0.0,1220.0368431097595
ETH-30OCT26-2300-P,36.0,-12.0,1.0,427.4276905034019,526.3144612611106,15387.396858122469,-6315.773535133328
