批次对账,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
以采购批次号为主键连接库存、报损、销售、冷链、质检和渠道数据；余额差异用于识别记录口径或覆盖范围问题。,,,,,,,,,,,,
,,,,,,,,,,,,
批次号,采购到货kg,库存入库kg,库存出库kg,库存报损kg,末笔期末库存kg,库存平衡差异kg,销售kg,销售/出库覆盖率,成熟相关问题kg,冷链超温小时,最低抽检硬度kgf,渠道到货kg
NY-KW-2508-001,,,,,,,,,,,,
NY-KW-2508-002,,,,,,,,,,,,
NY-KW-2508-003,,,,,,,,,,,,
NY-KW-2508-004,,,,,,,,,,,,
NY-KW-2508-005,,,,,,,,,,,,
NY-KW-2508-006,,,,,,,,,,,,
NY-KW-2508-007,,,,,,,,,,,,
NY-KW-2508-008,,,,,,,,,,,,
NY-KW-2508-009,,,,,,,,,,,,
NY-KW-2508-010,,,,,,,,,,,,
NY-KW-2508-011,,,,,,,,,,,,
NY-KW-2508-012,,,,,,,,,,,,
NY-KW-2508-013,,,,,,,,,,,,
NY-KW-2508-014,,,,,,,,,,,,
NY-KW-2508-015,,,,,,,,,,,,
NY-KW-2508-016,,,,,,,,,,,,
NY-KW-2508-017,,,,,,,,,,,,
NY-KW-2508-018,,,,,,,,,,,,
NY-KW-2508-019,,,,,,,,,,,,
NY-KW-2508-020,,,,,,,,,,,,
NY-KW-2508-021,,,,,,,,,,,,
NY-KW-2508-022,,,,,,,,,,,,
NY-KW-2508-023,,,,,,,,,,,,
NY-KW-2508-024,,,,,,,,,,,,
NY-KW-2508-025,,,,,,,,,,,,
NY-KW-2508-026,,,,,,,,,,,,
NY-KW-2508-027,,,,,,,,,,,,
NY-KW-2508-028,,,,,,,,,,,,
