报损折价,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
来源：企业经营数据样例/03_报损与折价处理记录.xlsx。保留原始逐笔记录；日期、数量、金额和比例按字段类型呈现。,,,,,,,,,,
,,,,,,,,,,
单据号,记录日期,批次号,发生环节,问题类型,问题数量kg,报废kg,折价处理kg,估计损失元,是否和成熟相关,处理备注
BS-2508-0001,2025-09-10 00:00:00,NY-KW-2508-006,仓库分拣,过熟偏软,356.1,202.7,153.4,1754.51,是,正常记录
BS-2508-0002,2025-10-11 00:00:00,NY-KW-2508-002,门店收货,软烂,73.1,49.3,23.8,371.5,是,门店已反馈
BS-2508-0003,2025-09-27 00:00:00,NY-KW-2508-009,仓库分拣,表皮皱缩,401.2,199.7,201.5,2286.25,否,门店已反馈
BS-2508-0004,2025-09-08 00:00:00,NY-KW-2508-006,运输到货,过熟偏软,397.8,134.9,262.9,1543.3,是,已和采购沟通
BS-2508-0005,2025-10-01 00:00:00,NY-KW-2508-007,仓库分拣,过熟偏软,47.2,29.7,17.5,295.37,是,门店已反馈
BS-2508-0006,2025-10-12 00:00:00,NY-KW-2508-014,门店收货,规格不符,373,213.8,159.2,1560.82,否,门店已反馈
BS-2508-0007,2025-09-27 00:00:00,NY-KW-2508-020,门店收货,过熟偏软,104.3,28.5,75.8,362.48,是,需复盘
BS-2508-0008,2025-10-03 00:00:00,NY-KW-2508-005,客户退货,软烂,66.7,36.3,30.4,345.51,是,已和采购沟通
BS-2508-0009,2025-10-22 00:00:00,NY-KW-2508-015,门店收货,碰压伤,415.5,111.4,304.1,1351.59,否,需复盘
BS-2508-0010,2025-10-13 00:00:00,NY-KW-2508-002,客户退货,过熟偏软,202.6,86.5,116.1,779.2,是,需复盘
BS-2508-0011,2025-09-27 00:00:00,NY-KW-2508-024,客户退货,规格不符,109.4,38.5,70.9,393.84,否,已和采购沟通
BS-2508-0012,2025-09-12 00:00:00,NY-KW-2508-006,仓库分拣,软烂,190.5,90.3,100.2,853.11,是,已和采购沟通
BS-2508-0013,2025-09-09 00:00:00,NY-KW-2508-006,运输到货,软烂,203.4,86.9,116.5,881.86,是,已和采购沟通
BS-2508-0014,2025-10-04 00:00:00,NY-KW-2508-017,运输到货,过熟偏软,371.1,224.3,146.8,1980.97,是,需复盘
BS-2508-0015,2025-10-09 00:00:00,NY-KW-2508-004,门店收货,霉点,383.3,190.9,192.4,1586.49,否,正常记录
BS-2508-0016,2025-10-14 00:00:00,NY-KW-2508-008,仓库分拣,过熟偏软,148.7,100.4,48.3,982.12,是,门店已反馈
BS-2508-0017,2025-10-17 00:00:00,NY-KW-2508-018,仓库分拣,表皮皱缩,441.2,229.1,212.1,1964.54,否,正常记录
BS-2508-0018,2025-10-27 00:00:00,NY-KW-2508-010,客户退货,表皮皱缩,347.3,164.7,182.6,1896.72,否,门店已反馈
BS-2508-0019,2025-10-29 00:00:00,NY-KW-2508-010,客户退货,过熟偏软,176.3,45.5,130.8,742.16,是,已和采购沟通
BS-2508-0020,2025-10-14 00:00:00,NY-KW-2508-016,仓库分拣,碰压伤,422.2,106.7,315.5,1786.53,否,已和采购沟通
BS-2508-0021,2025-10-22 00:00:00,NY-KW-2508-025,运输到货,表皮皱缩,373.3,218,155.3,1740.87,否,正常记录
BS-2508-0022,2025-10-22 00:00:00,NY-KW-2508-016,运输到货,软烂,171.1,80.4,90.7,928.09,是,已和采购沟通
BS-2508-0023,2025-09-20 00:00:00,NY-KW-2508-012,门店收货,规格不符,386.7,270.6,116.1,2568.1,否,门店已反馈
BS-2508-0024,2025-10-04 00:00:00,NY-KW-2508-009,仓库分拣,过熟偏软,197.6,58.9,138.7,824.43,是,门店已反馈
BS-2508-0025,2025-09-13 00:00:00,NY-KW-2508-026,仓库分拣,软烂,407.4,143.5,263.9,2137.33,是,门店已反馈
BS-2508-0026,2025-09-30 00:00:00,NY-KW-2508-003,客户退货,碰压伤,193.7,60.5,133.2,838.06,否,门店已反馈
BS-2508-0027,2025-10-25 00:00:00,NY-KW-2508-025,运输到货,表皮皱缩,286,112.5,173.5,992.15,否,需复盘
BS-2508-0028,2025-10-04 00:00:00,NY-KW-2508-005,客户退货,过熟偏软,160.3,93.2,67.1,891.49,是,需复盘
BS-2508-0029,2025-10-23 00:00:00,NY-KW-2508-010,客户退货,过熟偏软,321.2,199.3,121.9,2147.23,是,需复盘
BS-2508-0030,2025-10-05 00:00:00,NY-KW-2508-005,运输到货,霉点,280.2,111.6,168.6,1297.13,否,需复盘
BS-2508-0031,2025-09-29 00:00:00,NY-KW-2508-003,客户退货,霉点,60,25.5,34.5,325.31,否,需复盘
BS-2508-0032,2025-09-07 00:00:00,NY-KW-2508-021,门店收货,霉点,433.4,181.9,251.5,2547.42,否,需复盘
BS-2508-0033,2025-10-07 00:00:00,NY-KW-2508-014,门店收货,过熟偏软,390,143.4,246.6,1304.14,是,需复盘
BS-2508-0034,2025-10-13 00:00:00,NY-KW-2508-018,门店收货,表皮皱缩,86.6,49,37.6,398.41,否,已和采购沟通
BS-2508-0035,2025-10-12 00:00:00,NY-KW-2508-018,客户退货,软烂,289.4,201.2,88.2,1448.4,是,需复盘
BS-2508-0036,2025-09-10 00:00:00,NY-KW-2508-022,客户退货,表皮皱缩,430,112.9,317.1,1813.78,否,门店已反馈
BS-2508-0037,2025-10-22 00:00:00,NY-KW-2508-010,门店收货,表皮皱缩,109.8,53.2,56.6,697.21,否,需复盘
BS-2508-0038,2025-10-09 00:00:00,NY-KW-2508-008,客户退货,霉点,91.7,30.6,61.1,448.22,否,需复盘
BS-2508-0039,2025-10-08 00:00:00,NY-KW-2508-017,客户退货,霉点,183.1,86.1,97,874.55,否,需复盘
BS-2508-0040,2025-10-19 00:00:00,NY-KW-2508-025,客户退货,表皮皱缩,42.3,27.9,14.4,202.99,否,已和采购沟通
