渠道动销,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
来源：企业经营数据样例/08_渠道到货与动销表现.xlsx。保留原始逐笔记录；日期、数量、金额和比例按字段类型呈现。,,,,,,,,,,
,,,,,,,,,,
到货单号,到货日期,批次号,渠道,城市,到货kg,可正常销售kg,到货偏软比例,折价销售比例,售完天数,渠道反馈
DH-2508-0001,2025-09-24 00:00:00,NY-KW-2508-020,连锁门店,广州,415.4,363.9,0.124,0.102,2.5,正常
DH-2508-0002,2025-10-26 00:00:00,NY-KW-2508-010,连锁门店,东莞,129,124.6,0.034,0.031,4.6,正常
DH-2508-0003,2025-09-24 00:00:00,NY-KW-2508-019,社区电商,惠州,169.9,160.7,0.054,0.057,3.4,动销慢
DH-2508-0004,2025-09-23 00:00:00,NY-KW-2508-012,批发客户,惠州,819.4,763.7,0.068,0.075,1.8,补货及时
DH-2508-0005,2025-10-25 00:00:00,NY-KW-2508-010,批发客户,东莞,661.4,545,0.176,0.126,4.6,补货及时
DH-2508-0006,2025-10-03 00:00:00,NY-KW-2508-017,连锁门店,深圳,683,633.1,0.073,0.041,3.5,偏软反馈
DH-2508-0007,2025-09-27 00:00:00,NY-KW-2508-028,连锁门店,南宁,622.4,548.3,0.119,0.061,1.8,正常
DH-2508-0008,2025-09-15 00:00:00,NY-KW-2508-023,企业团购,东莞,1092.9,997.8,0.087,0.055,2.4,正常
DH-2508-0009,2025-08-28 00:00:00,NY-KW-2508-001,社区电商,珠海,1046.1,953,0.089,0.06,4.3,正常
DH-2508-0010,2025-09-10 00:00:00,NY-KW-2508-026,社区电商,东莞,422.1,386.6,0.084,0.09,4.1,正常
DH-2508-0011,2025-09-28 00:00:00,NY-KW-2508-009,社区电商,深圳,1102.2,921.4,0.164,0.133,3.7,补货及时
DH-2508-0012,2025-10-25 00:00:00,NY-KW-2508-010,连锁门店,佛山,573.4,552.2,0.037,0.047,3.1,补货及时
DH-2508-0013,2025-09-19 00:00:00,NY-KW-2508-020,连锁门店,珠海,903.9,789.1,0.127,0.166,2.3,正常
DH-2508-0014,2025-10-09 00:00:00,NY-KW-2508-008,社区电商,珠海,1133.4,1013.3,0.106,0.067,2.7,正常
DH-2508-0015,2025-09-26 00:00:00,NY-KW-2508-019,社区电商,广州,1066.3,1001.3,0.061,0.084,2.9,需关注货架期
DH-2508-0016,2025-09-30 00:00:00,NY-KW-2508-028,社区电商,广州,1116.8,973.8,0.128,0.092,1.7,正常
DH-2508-0017,2025-10-12 00:00:00,NY-KW-2508-002,批发客户,惠州,775,716.9,0.075,0.096,2.6,需关注货架期
DH-2508-0018,2025-09-06 00:00:00,NY-KW-2508-006,连锁门店,广州,836,802.6,0.04,0.027,2.5,补货及时
DH-2508-0019,2025-09-20 00:00:00,NY-KW-2508-020,社区电商,南宁,404.6,372.2,0.08,0.052,3.9,补货及时
DH-2508-0020,2025-09-24 00:00:00,NY-KW-2508-020,社区电商,惠州,1039.2,936.3,0.099,0.099,3.2,需关注货架期
DH-2508-0021,2025-10-12 00:00:00,NY-KW-2508-018,企业团购,珠海,374.9,323.5,0.137,0.104,2.8,正常
DH-2508-0022,2025-10-24 00:00:00,NY-KW-2508-015,企业团购,深圳,382.9,335,0.125,0.073,3.8,正常
DH-2508-0023,2025-09-23 00:00:00,NY-KW-2508-003,社区电商,珠海,384.4,361.7,0.059,0.068,4.8,正常
DH-2508-0024,2025-09-26 00:00:00,NY-KW-2508-024,连锁门店,佛山,1111,1057.7,0.048,0.048,2.2,正常
DH-2508-0025,2025-09-21 00:00:00,NY-KW-2508-019,社区电商,南宁,902.2,750.6,0.168,0.218,3.1,需关注货架期
DH-2508-0026,2025-09-21 00:00:00,NY-KW-2508-012,批发客户,东莞,176.4,156.5,0.113,0.083,4.3,正常
DH-2508-0027,2025-09-06 00:00:00,NY-KW-2508-026,连锁门店,东莞,182,163.8,0.1,0.071,2,需关注货架期
DH-2508-0028,2025-09-18 00:00:00,NY-KW-2508-023,社区电商,惠州,577,489.9,0.151,0.084,4.6,正常
DH-2508-0029,2025-09-28 00:00:00,NY-KW-2508-007,社区电商,珠海,887.4,732.1,0.175,0.212,3.4,补货及时
DH-2508-0030,2025-10-24 00:00:00,NY-KW-2508-015,社区电商,深圳,582.2,477.4,0.18,0.108,3,偏软反馈
DH-2508-0031,2025-09-14 00:00:00,NY-KW-2508-022,社区电商,南宁,662.7,640.2,0.034,0.03,4.1,需关注货架期
DH-2508-0032,2025-09-24 00:00:00,NY-KW-2508-003,批发客户,惠州,1044.4,991.1,0.051,0.048,3,补货及时
DH-2508-0033,2025-09-04 00:00:00,NY-KW-2508-006,社区电商,广州,1077.5,1029,0.045,0.05,2.8,需关注货架期
DH-2508-0034,2025-09-10 00:00:00,NY-KW-2508-022,企业团购,佛山,154.9,130.3,0.159,0.125,2.1,补货及时
DH-2508-0035,2025-09-13 00:00:00,NY-KW-2508-027,连锁门店,珠海,845.9,821.4,0.029,0.036,2.9,补货及时
DH-2508-0036,2025-10-23 00:00:00,NY-KW-2508-025,批发客户,珠海,566.8,541.3,0.045,0.037,2.2,需关注货架期
DH-2508-0037,2025-09-09 00:00:00,NY-KW-2508-022,批发客户,东莞,967.6,875.7,0.095,0.05,2.8,补货及时
DH-2508-0038,2025-09-21 00:00:00,NY-KW-2508-019,批发客户,广州,134.8,113.9,0.155,0.184,2.3,正常
DH-2508-0039,2025-10-22 00:00:00,NY-KW-2508-010,批发客户,珠海,584.1,544.4,0.068,0.056,1.7,补货及时
DH-2508-0040,2025-09-25 00:00:00,NY-KW-2508-020,社区电商,惠州,648.9,586,0.097,0.099,2.2,补货及时
DH-2508-0041,2025-10-08 00:00:00,NY-KW-2508-004,批发客户,南宁,1186.3,1135.3,0.043,0.025,3.3,补货及时
DH-2508-0042,2025-10-08 00:00:00,NY-KW-2508-008,社区电商,珠海,576.2,546.2,0.052,0.057,3.7,正常
