试验原始数据,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
逐条保留六份指标工作簿中的记录；单位单列，不改写原始测定值。,,,,,,
,,,,,,
指标,单位,时间(d),处理,重复,测定值,来源文件
硬度,N,0,CK,1,84.2,实验资料/硬度.xlsx
硬度,N,0,CK,2,83.8,实验资料/硬度.xlsx
硬度,N,0,CK,3,84.5,实验资料/硬度.xlsx
硬度,N,0,GA3,1,84.1,实验资料/硬度.xlsx
硬度,N,0,GA3,2,84,实验资料/硬度.xlsx
硬度,N,0,GA3,3,83.9,实验资料/硬度.xlsx
硬度,N,7,CK,1,61.5,实验资料/硬度.xlsx
硬度,N,7,CK,2,58,实验资料/硬度.xlsx
硬度,N,7,CK,3,60.5,实验资料/硬度.xlsx
硬度,N,7,GA3,1,76.5,实验资料/硬度.xlsx
硬度,N,7,GA3,2,73.5,实验资料/硬度.xlsx
硬度,N,7,GA3,3,75,实验资料/硬度.xlsx
硬度,N,14,CK,1,36,实验资料/硬度.xlsx
硬度,N,14,CK,2,34,实验资料/硬度.xlsx
硬度,N,14,CK,3,35,实验资料/硬度.xlsx
硬度,N,14,GA3,1,62,实验资料/硬度.xlsx
硬度,N,14,GA3,2,58.5,实验资料/硬度.xlsx
硬度,N,14,GA3,3,59.5,实验资料/硬度.xlsx
硬度,N,21,CK,1,16.5,实验资料/硬度.xlsx
硬度,N,21,CK,2,14,实验资料/硬度.xlsx
硬度,N,21,CK,3,14.5,实验资料/硬度.xlsx
硬度,N,21,GA3,1,42,实验资料/硬度.xlsx
硬度,N,21,GA3,2,39,实验资料/硬度.xlsx
硬度,N,21,GA3,3,39,实验资料/硬度.xlsx
硬度,N,28,CK,1,3.5,实验资料/硬度.xlsx
硬度,N,28,CK,2,2.8,实验资料/硬度.xlsx
硬度,N,28,CK,3,2.7,实验资料/硬度.xlsx
硬度,N,28,GA3,1,17.5,实验资料/硬度.xlsx
硬度,N,28,GA3,2,15,实验资料/硬度.xlsx
硬度,N,28,GA3,3,15.5,实验资料/硬度.xlsx
可溶性固形物,%,0,CK,1,5.9,实验资料/可溶性固形物.xlsx
可溶性固形物,%,0,CK,2,6.1,实验资料/可溶性固形物.xlsx
可溶性固形物,%,0,CK,3,6,实验资料/可溶性固形物.xlsx
可溶性固形物,%,0,GA3,1,6,实验资料/可溶性固形物.xlsx
可溶性固形物,%,0,GA3,2,6.1,实验资料/可溶性固形物.xlsx
可溶性固形物,%,0,GA3,3,5.9,实验资料/可溶性固形物.xlsx
可溶性固形物,%,7,CK,1,8.4,实验资料/可溶性固形物.xlsx
可溶性固形物,%,7,CK,2,8.7,实验资料/可溶性固形物.xlsx
可溶性固形物,%,7,CK,3,8.4,实验资料/可溶性固形物.xlsx
可溶性固形物,%,7,GA3,1,7.4,实验资料/可溶性固形物.xlsx
可溶性固形物,%,7,GA3,2,7.6,实验资料/可溶性固形物.xlsx
可溶性固形物,%,7,GA3,3,7.5,实验资料/可溶性固形物.xlsx
可溶性固形物,%,14,CK,1,11.1,实验资料/可溶性固形物.xlsx
