试验统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
均值、样本标准差、组间差异和探索性检验均由“试验原始数据”公式联动；p值不替代效应量、轨迹和独立批次复现。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
指标,单位,时间(d),CK均值,CK样本SD,GA3均值,GA3样本SD,差值(GA3-CK),相对差异,Welch双侧p,Bonferroni p,方向,原始数据行,,时间(d),CK硬度(N),GA3硬度(N)
硬度,N,0,,,,,,,,,,,,,,
硬度,N,7,,,,,,,,,,,,,,
硬度,N,14,,,,,,,,,,,,,,
硬度,N,21,,,,,,,,,,,,,,
硬度,N,28,,,,,,,,,,,,,,
可溶性固形物,%,0,,,,,,,,,,,,,,
可溶性固形物,%,7,,,,,,,,,,,,,,
可溶性固形物,%,14,,,,,,,,,,,,,,
可溶性固形物,%,21,,,,,,,,,,,,,,
可溶性固形物,%,28,,,,,,,,,,,,,,
总酸,%,0,,,,,,,,,,,,,,
总酸,%,7,,,,,,,,,,,,,,
总酸,%,14,,,,,,,,,,,,,,
总酸,%,21,,,,,,,,,,,,,,
总酸,%,28,,,,,,,,,,,,,,
乙烯释放速率,μL·kg⁻¹·h⁻¹,0,,,,,,,,,,,,,,
乙烯释放速率,μL·kg⁻¹·h⁻¹,7,,,,,,,,,,,,,,
乙烯释放速率,μL·kg⁻¹·h⁻¹,14,,,,,,,,,,,,,,
乙烯释放速率,μL·kg⁻¹·h⁻¹,21,,,,,,,,,,,,,,
乙烯释放速率,μL·kg⁻¹·h⁻¹,28,,,,,,,,,,,,,,
淀粉含量,g·kg⁻¹ FW,0,,,,,,,,,,,,,,
淀粉含量,g·kg⁻¹ FW,7,,,,,,,,,,,,,,
淀粉含量,g·kg⁻¹ FW,14,,,,,,,,,,,,,,
淀粉含量,g·kg⁻¹ FW,21,,,,,,,,,,,,,,
淀粉含量,g·kg⁻¹ FW,28,,,,,,,,,,,,,,
抗坏血酸,g·kg⁻¹ FW,0,,,,,,,,,,,,,,
抗坏血酸,g·kg⁻¹ FW,7,,,,,,,,,,,,,,
抗坏血酸,g·kg⁻¹ FW,14,,,,,,,,,,,,,,
抗坏血酸,g·kg⁻¹ FW,21,,,,,,,,,,,,,,
抗坏血酸,g·kg⁻¹ FW,28,,,,,,,,,,,,,,
