质检抽检,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
来源：企业经营数据样例/06_质检抽检记录.xlsx。保留原始逐笔记录；日期、数量、金额和比例按字段类型呈现。,,,,,,,,,
,,,,,,,,,
检测日期,批次号,入库后天数,抽检果数,平均硬度kgf,糖度Brix,外观等级,销售建议,主要问题,检测小组
2025-08-25 00:00:00,NY-KW-2508-001,0,15,7.48,8.7,A,可售,偏硬,南宁质检组
2025-08-27 00:00:00,NY-KW-2508-001,2,15,6.27,9.3,A,可售,无,广州质检组
2025-08-29 00:00:00,NY-KW-2508-001,4,20,5.21,10.6,A,可售,适熟,南宁质检组
2025-08-31 00:00:00,NY-KW-2508-001,6,12,5.11,12.2,B,可售,偏硬,南宁质检组
2025-09-02 00:00:00,NY-KW-2508-001,8,12,4.36,12.4,B,临界,适熟,南宁质检组
2025-10-08 00:00:00,NY-KW-2508-002,0,12,8.45,8.3,A,可售,偏硬,广州质检组
2025-10-10 00:00:00,NY-KW-2508-002,2,20,7.39,9.4,B,可售,适熟,广州质检组
2025-10-12 00:00:00,NY-KW-2508-002,4,15,6.79,9.7,A,可售,适熟,深圳质检组
2025-10-14 00:00:00,NY-KW-2508-002,6,20,3.67,12.2,C,临界,偏软,深圳质检组
2025-10-16 00:00:00,NY-KW-2508-002,8,12,3.88,12.4,C,临界,适熟,深圳质检组
2025-09-21 00:00:00,NY-KW-2508-003,0,15,6.37,7.6,A,可售,偏硬,南宁质检组
2025-09-23 00:00:00,NY-KW-2508-003,2,12,4.96,8.2,A,可售,偏硬,广州质检组
2025-09-25 00:00:00,NY-KW-2508-003,4,12,4.6,9.2,A,可售,无,深圳质检组
2025-09-27 00:00:00,NY-KW-2508-003,6,20,3.14,9.6,C,临界,偏软,广州质检组
2025-09-29 00:00:00,NY-KW-2508-003,8,20,1.8,12.4,D,不建议销售,偏软,广州质检组
2025-10-07 00:00:00,NY-KW-2508-004,0,20,6.34,9.4,A,可售,偏硬,深圳质检组
2025-10-09 00:00:00,NY-KW-2508-004,2,20,4.71,10.7,A,可售,适熟,广州质检组
2025-10-11 00:00:00,NY-KW-2508-004,4,12,4.45,11,B,临界,偏软,南宁质检组
2025-10-13 00:00:00,NY-KW-2508-004,6,15,1.61,11.4,D,不建议销售,偏软,深圳质检组
2025-10-15 00:00:00,NY-KW-2508-004,8,15,0.7,13.3,D,不建议销售,偏软,深圳质检组
2025-09-30 00:00:00,NY-KW-2508-005,0,15,8.13,8.4,B,可售,适熟,深圳质检组
2025-10-02 00:00:00,NY-KW-2508-005,2,15,6.61,9.5,A,可售,偏硬,广州质检组
2025-10-04 00:00:00,NY-KW-2508-005,4,12,5.52,10.4,A,可售,偏硬,深圳质检组
2025-10-06 00:00:00,NY-KW-2508-005,6,12,4.51,10.8,A,可售,偏硬,深圳质检组
2025-10-08 00:00:00,NY-KW-2508-005,8,12,3.2,11.1,C,临界,适熟,广州质检组
2025-09-03 00:00:00,NY-KW-2508-006,0,15,7.25,7.3,A,可售,偏硬,广州质检组
2025-09-05 00:00:00,NY-KW-2508-006,2,12,5.67,8.5,A,可售,无,广州质检组
2025-09-07 00:00:00,NY-KW-2508-006,4,15,4.97,9.3,A,可售,偏硬,广州质检组
2025-09-09 00:00:00,NY-KW-2508-006,6,12,4.67,10.1,B,可售,无,南宁质检组
2025-09-11 00:00:00,NY-KW-2508-006,8,20,2.52,11.1,B,临界,适熟,深圳质检组
2025-09-24 00:00:00,NY-KW-2508-007,0,12,6.85,6.9,B,可售,无,广州质检组
2025-09-26 00:00:00,NY-KW-2508-007,2,20,5.44,7.6,A,可售,适熟,深圳质检组
2025-09-28 00:00:00,NY-KW-2508-007,4,20,5.2,9.6,B,可售,偏硬,广州质检组
2025-09-30 00:00:00,NY-KW-2508-007,6,15,4.13,9.3,B,临界,适熟,深圳质检组
2025-10-02 00:00:00,NY-KW-2508-007,8,15,3.56,9.9,B,临界,适熟,深圳质检组
2025-10-06 00:00:00,NY-KW-2508-008,0,12,6.33,9.4,B,可售,偏硬,南宁质检组
2025-10-08 00:00:00,NY-KW-2508-008,2,12,5.1,10.3,A,可售,无,广州质检组
2025-10-10 00:00:00,NY-KW-2508-008,4,20,4.62,10.6,B,可售,适熟,南宁质检组
2025-10-12 00:00:00,NY-KW-2508-008,6,12,2.24,11.5,D,不建议销售,偏软,南宁质检组
2025-10-14 00:00:00,NY-KW-2508-008,8,15,1.1,13.3,D,不建议销售,偏软,深圳质检组
2025-09-25 00:00:00,NY-KW-2508-009,0,20,7.96,9.6,A,可售,适熟,广州质检组
2025-09-27 00:00:00,NY-KW-2508-009,2,12,6.88,10.7,A,可售,偏硬,南宁质检组
