采购批次,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
来源：企业经营数据样例/01_采购批次台账.xlsx。保留原始逐笔记录；日期、数量、金额和比例按字段类型呈现。,,,,,,,,,,,,,
,,,,,,,,,,,,,
批次号,品种,产地,采收日期,到仓日期,到仓仓库,到货量kg,采购单价元kg,采购金额元,采购方式,到仓硬度kgf,到仓糖度Brix,计划销售渠道,批次状态
NY-KW-2508-001,金艳,湖北建始基地,2025-08-22 00:00:00,2025-08-25 00:00:00,深圳龙岗前置仓,9000,8.48,76320,基地直采,7.48,8.7,企业团购,已结批
NY-KW-2508-002,金艳,湖北建始基地,2025-10-06 00:00:00,2025-10-08 00:00:00,广州黄埔仓,11600,6.22,72152,基地直采,8.45,8.3,连锁门店,已结批
NY-KW-2508-003,海沃德,广西桂林合作基地,2025-09-20 00:00:00,2025-09-21 00:00:00,南宁江南分仓,10000,8.1,81000,产地经纪采购,6.37,7.6,混合渠道,已结批
NY-KW-2508-004,徐香,陕西周至合作社,2025-10-06 00:00:00,2025-10-07 00:00:00,广州黄埔仓,14000,6.21,86940,基地直采,6.34,9.4,连锁门店,已结批
NY-KW-2508-005,翠香,广西桂林合作基地,2025-09-28 00:00:00,2025-09-30 00:00:00,南宁江南分仓,19000,7.28,138320,基地直采,8.13,8.4,社区电商,已结批
NY-KW-2508-006,翠香,四川蒲江基地,2025-08-30 00:00:00,2025-09-03 00:00:00,深圳龙岗前置仓,16400,7,114800,产地经纪采购,7.25,7.3,连锁门店,已结批
NY-KW-2508-007,金艳,湖北建始基地,2025-09-21 00:00:00,2025-09-24 00:00:00,广州黄埔仓,19400,8.05,156170,基地直采,6.85,6.9,社区电商,已结批
NY-KW-2508-008,海沃德,湖北建始基地,2025-10-03 00:00:00,2025-10-06 00:00:00,深圳龙岗前置仓,22300,8.23,183529,基地直采,6.33,9.4,混合渠道,已结批
NY-KW-2508-009,翠香,湖北建始基地,2025-09-21 00:00:00,2025-09-25 00:00:00,深圳龙岗前置仓,22700,8.08,183416,产地经纪采购,7.96,9.6,连锁门店,已结批
NY-KW-2508-010,海沃德,贵州修文基地,2025-10-16 00:00:00,2025-10-19 00:00:00,深圳龙岗前置仓,22700,8.91,202257,基地直采,6.59,10,连锁门店,已结批
NY-KW-2508-011,海沃德,广西桂林合作基地,2025-09-20 00:00:00,2025-09-24 00:00:00,南宁江南分仓,21300,7.38,157194,基地直采,8.55,7.8,连锁门店,已结批
NY-KW-2508-012,海沃德,贵州修文基地,2025-09-14 00:00:00,2025-09-18 00:00:00,广州黄埔仓,21300,8.07,171891,合作社采购,7.61,8.9,企业团购,已结批
NY-KW-2508-013,海沃德,陕西周至合作社,2025-10-04 00:00:00,2025-10-08 00:00:00,南宁江南分仓,11400,7.63,86982,产地经纪采购,8.44,8.3,批发客户,已结批
NY-KW-2508-014,翠香,湖北建始基地,2025-09-30 00:00:00,2025-10-03 00:00:00,广州黄埔仓,17100,6.09,104139,基地直采,8.63,8.6,混合渠道,已结批
NY-KW-2508-015,徐香,四川蒲江基地,2025-10-17 00:00:00,2025-10-18 00:00:00,南宁江南分仓,18000,6.07,109260,合作社采购,7.7,8,批发客户,已结批
NY-KW-2508-016,徐香,陕西眉县基地,2025-10-11 00:00:00,2025-10-12 00:00:00,广州黄埔仓,18300,7.69,140727,产地经纪采购,8.51,9.5,混合渠道,已结批
NY-KW-2508-017,徐香,广西桂林合作基地,2025-09-28 00:00:00,2025-09-30 00:00:00,深圳龙岗前置仓,21400,7,149800,基地直采,7.19,9.4,批发客户,已结批
NY-KW-2508-018,金艳,陕西周至合作社,2025-10-06 00:00:00,2025-10-09 00:00:00,南宁江南分仓,13800,6.34,87492,基地直采,8.61,9.6,混合渠道,已结批
NY-KW-2508-019,海沃德,四川蒲江基地,2025-09-17 00:00:00,2025-09-20 00:00:00,广州黄埔仓,16100,8.8,141680,合作社采购,6.56,8.8,连锁门店,已结批
NY-KW-2508-020,徐香,广西桂林合作基地,2025-09-16 00:00:00,2025-09-18 00:00:00,深圳龙岗前置仓,19500,6.77,132015,产地经纪采购,6.94,9.6,社区电商,已结批
NY-KW-2508-021,徐香,广西桂林合作基地,2025-08-26 00:00:00,2025-08-28 00:00:00,南宁江南分仓,14800,8.69,128612,基地直采,8.66,7.8,混合渠道,已结批
NY-KW-2508-022,翠香,贵州修文基地,2025-09-05 00:00:00,2025-09-08 00:00:00,南宁江南分仓,14000,8.55,119700,基地直采,7.46,7.2,混合渠道,已结批
NY-KW-2508-023,徐香,湖北建始基地,2025-09-07 00:00:00,2025-09-11 00:00:00,深圳龙岗前置仓,17700,8.12,143724,基地直采,6.9,10.1,混合渠道,已结批
NY-KW-2508-024,翠香,陕西眉县基地,2025-09-17 00:00:00,2025-09-21 00:00:00,广州黄埔仓,9000,6.4,57600,基地直采,8.37,8.8,连锁门店,已结批
NY-KW-2508-025,海沃德,陕西眉县基地,2025-10-12 00:00:00,2025-10-16 00:00:00,深圳龙岗前置仓,16300,6.25,101875,合作社采购,8.25,9.5,批发客户,已结批
NY-KW-2508-026,海沃德,贵州修文基地,2025-08-31 00:00:00,2025-09-04 00:00:00,深圳龙岗前置仓,16900,9.26,156494,产地经纪采购,8.64,9.1,混合渠道,已结批
NY-KW-2508-027,海沃德,湖北建始基地,2025-09-05 00:00:00,2025-09-06 00:00:00,深圳龙岗前置仓,20200,9.74,196748,合作社采购,6.48,9.9,批发客户,已结批
NY-KW-2508-028,徐香,四川蒲江基地,2025-09-22 00:00:00,2025-09-26 00:00:00,深圳龙岗前置仓,16600,7.81,129646,产地经纪采购,7.69,7.6,连锁门店,已结批
