销售流水,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
来源：企业经营数据样例/04_销售流水与价格记录.xlsx。保留原始逐笔记录；日期、数量、金额和比例按字段类型呈现。,,,,,,,,,,,,
,,,,,,,,,,,,
销售单号,销售日期,批次号,渠道,城市,销售kg,原价销售kg,折价销售kg,平均售价元kg,销售收入元,退货kg,客诉件数,客诉原因
XS-2508-00001,2025-08-26 00:00:00,NY-KW-2508-001,批发客户,佛山,696.8,553.8,143,25.12,17503.62,11.6,1,风味一般
XS-2508-00002,2025-08-27 00:00:00,NY-KW-2508-001,社区电商,深圳,843.8,807.4,36.4,25.51,21525.34,4.5,0,无
XS-2508-00003,2025-08-28 00:00:00,NY-KW-2508-001,连锁门店,惠州,1330.2,921.1,409.1,26.04,34638.41,9,0,无
XS-2508-00004,2025-08-29 00:00:00,NY-KW-2508-001,连锁门店,惠州,1040.6,848.5,192.1,24.92,25931.75,12.4,1,偏硬
XS-2508-00005,2025-08-30 00:00:00,NY-KW-2508-001,连锁门店,深圳,273,225.1,47.9,28.8,7862.4,0.6,2,外观
XS-2508-00006,2025-08-31 00:00:00,NY-KW-2508-001,连锁门店,广州,184.2,104.3,79.9,23.96,4413.43,3.2,0,无
XS-2508-00007,2025-09-01 00:00:00,NY-KW-2508-001,连锁门店,广州,611.2,383.8,227.4,30.65,18733.28,1.3,0,无
XS-2508-00008,2025-09-02 00:00:00,NY-KW-2508-001,连锁门店,广州,451,337.7,113.3,24.18,10905.18,3.4,0,无
XS-2508-00009,2025-09-03 00:00:00,NY-KW-2508-001,社区电商,广州,1281.1,903.6,377.5,27.82,35640.2,17,0,无
XS-2508-00010,2025-10-09 00:00:00,NY-KW-2508-002,连锁门店,东莞,821,745.1,75.9,24.37,20007.77,14.4,1,风味一般
