instrument_name,quantity_t0,net_trade_quantity,quantity_t1
BTC-14AUG26-65000-C,2.5,-0.6,1.9
BTC-14AUG26-65000-P,-2.0,-1.5,-3.5
BTC-25SEP26-58000-C,-1.5,2.0,0.5
BTC-25SEP26-58000-P,1.25,0.0,1.25
BTC-25SEP26-72000-C,2.0,-0.75,1.25
BTC-25SEP26-72000-P,-1.75,2.25,0.5
BTC-30OCT26-52000-C,-1.0,0.0,-1.0
BTC-30OCT26-52000-P,1.5,0.0,1.5
BTC-30OCT26-78000-C,1.25,0.0,1.25
BTC-30OCT26-78000-P,-1.0,1.0,0.0
ETH-14AUG26-1920-C,-48.0,8.0,-40.0
ETH-14AUG26-1920-P,40.0,-16.0,24.0
ETH-25SEP26-1700-C,32.0,10.0,42.0
ETH-25SEP26-1700-P,-36.0,0.0,-36.0
ETH-25SEP26-2100-C,-44.0,56.0,12.0
ETH-25SEP26-2100-P,28.0,0.0,28.0
ETH-30OCT26-1500-C,24.0,0.0,24.0
ETH-30OCT26-1500-P,-30.0,14.0,-16.0
ETH-30OCT26-2300-C,0.0,28.0,28.0
ETH-30OCT26-2300-P,36.0,-48.0,-12.0
